sid,name,ticker,type,slug,isin
A2ZI,A2z Infra Engineering Ltd,A2ZINFRA,stock,/stocks/a2z-infra-engineering-A2ZI,INE619I01012
AAKA,Aakash Exploration Services Ltd,AAKASH,stock,/stocks/aakash-exploration-services-AAKA,INE087Z01024
ABAN,Aban Offshore Ltd,ABAN,stock,/stocks/aban-offshore-ABAN,INE421A01028
AARU,Aarti Surfactants Ltd,AARTISURF,stock,/stocks/aarti-surfactants-AARU,INE09EO01013
ARTI,Aarti Industries Ltd,AARTIIND,stock,/stocks/aarti-industries-ARTI,INE769A01020
AARI,Aarvi Encon Ltd,AARVI,stock,/stocks/aarvi-encon-AARI,INE754X01016
ABB,ABB India Ltd,ABB,stock,/stocks/abb-india-ABB,INE117A01022
ABOT,Abbott India Ltd,ABBOTINDIA,stock,/stocks/abbott-india-ABOT,INE358A01014
ADRG,Aarti Drugs Ltd,AARTIDRUGS,stock,/stocks/aarti-drugs-ADRG,INE767A01016
AARN,Aaron Industries Ltd,AARON,stock,/stocks/aaron-industries-AARN,INE721Z01010
AVAS,Aavas Financiers Ltd,AAVAS,stock,/stocks/aavas-financiers-AVAS,INE216P01012
ADTB,Aditya Birla Capital Ltd,ABCAPITAL,stock,/stocks/aditya-birla-capital-ADTB,INE674K01013
AGRP,Agro Phos (India) Ltd,AGROPHOS,stock,/stocks/agro-phos-india-AGRP,INE740V01019
ACC,ACC Ltd,ACC,stock,/stocks/acc-ACC,INE012A01025
ADIA,Aditya Birla Fashion and Retail Ltd,ABFRL,stock,/stocks/aditya-birla-fashion-and-retail-ADIA,INE647O01011
AMRN,ADF Foods Ltd,ADFFOODS,stock,/stocks/adf-foods-AMRN,INE982B01027
ADEL,Adani Enterprises Ltd,ADANIENT,stock,/stocks/adani-enterprises-ADEL,INE423A01024
ACCU,Accuracy Shipping Ltd,ACCURACY,stock,/stocks/accuracy-shipping-ACCU,INE648Z01023
ADIL,Aditya Birla Sun Life Nifty Bank ETF,ABSLBANETF,etf,/etfs/aditya-birla-sun-life-nifty-bank-etf-ADIL,INF209KB17D5
AROI,Adroit Infotech Ltd,ADROITINFO,stock,/stocks/adroit-infotech-AROI,INE737B01033
APSE,Adani Ports and Special Economic Zone Ltd,ADANIPORTS,stock,/stocks/adani-ports-and-special-economic-zone-APSE,INE742F01042
ABMN,Abm International Ltd,ABMINTLLTD,stock,/stocks/abm-international-ABMN,INE251C01025
ADAN,Adani Power Ltd,ADANIPOWER,stock,/stocks/adani-power-ADAN,INE814H01029
ADAG,Adani Total Gas Ltd,ATGL,stock,/stocks/adani-gas-ADAG,INE399L01023
AGWL,Agarwal Industrial Corporation Ltd,AGARIND,stock,/stocks/agarwal-industrial-corporation-AGWL,INE204E01012
AIAE,AIA Engineering Ltd,AIAENG,stock,/stocks/aia-engineering-AIAE,INE212H01026
ALSL,Almondz Global Securities Ltd,ALMONDZ,stock,/stocks/almondz-global-securities-ALSL,INE326B01035
AMBE,Amber Enterprises India Ltd,AMBER,stock,/stocks/amber-enterprises-india-AMBE,INE371P01015
AMDM,AMD Industries Ltd,AMDIND,stock,/stocks/amd-industries-AMDM,INE005I01014
AKSO,Aksh Optifibre Ltd,AKSHOPTFBR,stock,/stocks/aksh-optifibre-AKSO,INE523B01011
ALAK,Alankit Ltd,ALANKIT,stock,/stocks/alankit-ALAK,INE914E01040
ALMC,Alembic Ltd,ALEMBICLTD,stock,/stocks/alembic-ALMC,INE426A01027
ADIB,Aditya Birla Sun Life Nifty Next 50 ETF,ABSLNN50ET,etf,/etfs/aditya-birla-sun-life-nifty-next-50-etf-ADIB,INF209KB16D7
ASHE,Asian Hotels (East) Ltd,AHLEAST,stock,/stocks/asian-hotels-east-ASHE,INE926K01017
AKAS,Akash Infra-Projects Ltd,AKASH,stock,/stocks/akash-infra-projects-AKAS,INE737W01013
AMAR,Amara Raja Energy & Mobility Ltd,ARE&M,stock,/stocks/amara-raja-batteries-AMAR,INE885A01032
ABUJ,Ambuja Cements Ltd,AMBUJACEM,stock,/stocks/ambuja-cements-ABUJ,INE079A01024
ABIN,A B Infrabuild Ltd,ABINFRA,stock,/stocks/a-b-infrabuild-ABIN,INE00YB01025
ADAI,Adani Energy Solutions Ltd,ADANIENSOL,stock,/stocks/adani-transmission-ADAI,INE931S01010
ADIS,Allied Digital Services Ltd,ADSL,stock,/stocks/allied-digital-services-ADIS,INE102I01027
AEGS,Aegis Logistics Ltd,AEGISLOG,stock,/stocks/aegis-logistics-AEGS,INE208C01025
AMBK,Ambika Cotton Mills Ltd,AMBIKCO,stock,/stocks/ambika-cotton-mills-AMBK,INE540G01014
AICI,Ai Champdany Industries Ltd,AICHAMP,stock,/stocks/ai-champdany-industries-AICI,INE768E01024
AIRA,Airan Ltd,AIRAN,stock,/stocks/airan-AIRA,INE645W01026
AJOO,Ajooni Biotech Ltd,AJOONI,stock,/stocks/ajooni-biotech-AJOO,INE820Y01021
AKSH,Aksharchem (India) Ltd,AKSHARCHEM,stock,/stocks/aksharchem-india-AKSH,INE542B01011
ALML,Alkali Metals Ltd,ALKALI,stock,/stocks/alkali-metals-ALML,INE773I01017
