mb-0,download-btn href
December 2014,https://www.dpiit.gov.in/static/uploads/2025/07/942133778113e8a94c348e40be42e0fa.pdf
November 2014,https://www.dpiit.gov.in/static/uploads/2025/07/521fab84d032e7e067cf7c99cf6b246a.pdf
October 2014,https://www.dpiit.gov.in/static/uploads/2025/07/e5892727a36cd13805ff65b1e99876b7.pdf
september 2014,https://www.dpiit.gov.in/static/uploads/2025/07/7a07e37b049e398e905ec1c8b6e20e29.pdf
August 2014,https://www.dpiit.gov.in/static/uploads/2025/07/72ec430c79887d5cb911d84a1e15c2f9.pdf
July 2014,https://www.dpiit.gov.in/static/uploads/2025/07/c53aa8fc63c3cf1aa04995dadad92938.pdf
June 2014,https://www.dpiit.gov.in/static/uploads/2025/07/525105acc60b9740bb834cc377345a5e.pdf
May 2014,https://www.dpiit.gov.in/static/uploads/2025/07/a003858831b0f02cd0cdb11481f50361.pdf
April 2014,https://www.dpiit.gov.in/static/uploads/2025/07/096dc7fb4fb661dd7125bf3b5710e5ef.pdf
March 2014,https://www.dpiit.gov.in/static/uploads/2025/07/0719612b9663cfcdc5f31111b23c62a2.pdf
February 2014,https://www.dpiit.gov.in/static/uploads/2025/07/51aae52efe5212adc9ef5a23442f6e94.pdf
January 2014,https://www.dpiit.gov.in/static/uploads/2025/07/cdb6c408a9f8a4087a06331953be8044.pdf
"October, 2023 to December, 2023",https://www.dpiit.gov.in/static/uploads/2025/07/fbb9c40769909d41e5a1fe11627c0f76.pdf
"July, 2023 to September, 2023",https://www.dpiit.gov.in/static/uploads/2025/07/5e2ee8773f7501ad3d830596fc05004d.pdf
April 2023 to June 2023,https://www.dpiit.gov.in/static/uploads/2025/07/0121772f03991adfe37bc10c42485898.pdf
January 2023 to March 2023,https://www.dpiit.gov.in/static/uploads/2025/07/3436ce7ec9204891e54d8cb9f99349ec.pdf
January 2022 to March 2022,https://www.dpiit.gov.in/static/uploads/2025/07/58bab0a0729a636d566d6e31d2c88633.pdf
April 2022 to June 2022,https://www.dpiit.gov.in/static/uploads/2025/07/370a94b7288f123404d25d8b0b7b26dd.pdf
July 2022 to September 2022,https://www.dpiit.gov.in/static/uploads/2025/07/3bf471f1a38b68bf8d6eb88e4ac20df5.pdf
"October, 2022 to December, 2022",https://www.dpiit.gov.in/static/uploads/2025/07/aa3248f445bcde2dbc77051bf1ff56d5.pdf
"October, 2021 to December, 2021",https://www.dpiit.gov.in/static/uploads/2025/07/64a127afe5f6068245cdc2d120303c55.pdf
July 2021 to September 2021,https://www.dpiit.gov.in/static/uploads/2025/07/0ec2d6a6d708a5cafde156bb9541204d.pdf
April 2021 to June 2021,https://www.dpiit.gov.in/static/uploads/2025/07/c585fb20893aabf29ce653e538d0cfa9.pdf
January 2021 to March 2021,https://www.dpiit.gov.in/static/uploads/2025/07/400414f25fff988d0c6eebfce9a86b67.pdf
October 2020 to December 2020,https://www.dpiit.gov.in/static/uploads/2025/07/7455f3617536cbeea2f11c760f44b2c0.pdf
July 2020 to September 2020,https://www.dpiit.gov.in/static/uploads/2025/07/beafc3ec76855621ca0998fdfddc4a96.pdf
April 2020 to June 2020,https://www.dpiit.gov.in/static/uploads/2025/07/ab665080630351edee273fb21dcdf6a4.pdf
January 2020 to March 2020,https://www.dpiit.gov.in/static/uploads/2025/07/d1fb768b5ca8514943970a415e906a86.pdf
October 2019 to December 2019,https://www.dpiit.gov.in/static/uploads/2025/07/8ae083d8b2aa9d7e83129babefc66382.pdf
July 2019 to September 2019,https://www.dpiit.gov.in/static/uploads/2025/07/ca2762e915b102b10a5f87d615f13019.pdf
