col-md-6,viewBtn href
08.01.2018,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_Fact_Sheet_from_April_2014_to_December_2017.pdf
18.03.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_fact_sheet_April_2016_to_Sep_2018.pdf
18.03.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_Fact_Sheet_April_2015_to_March_2018.pdf
18.03.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_fact_sheet_April_2016_to_June_2018.pdf
30.04.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_Fact_sheet_April_2016_to_March_2019.pdf
30.05.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_Fact_sheet_May_2019.pdf
06.08.2019,http://dea.gov.in/files/overseas_direct_investment_documents/Overseas_Direct_nvestment_Data_from_April_2017_to_July_2019.pdf
31.08.2019,http://dea.gov.in/files/overseas_direct_investment_documents/Overseas_Direct_Investment_Data_from_April_2017_to_August_2019.pdf
06.11.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_Fact_sheet_October_2019.pdf
24.12.2019,http://dea.gov.in/files/overseas_direct_investment_documents/Overseas_Direct_Investment_Data_from_April_2017_to_November_2019.pdf
27.07.2020,http://dea.gov.in/files/overseas_direct_investment_documents/April_2020_Factsheet_0.pdf
27.07.2020,http://dea.gov.in/files/overseas_direct_investment_documents/May_2020_Factsheet_0.pdf
28.08.2020,http://dea.gov.in/files/overseas_direct_investment_documents/July_2020_ODI_FactSheet.pdf
28.08.2020,http://dea.gov.in/files/overseas_direct_investment_documents/June_2020_ODI_FactSheet_0.pdf
22.10.2020,http://dea.gov.in/files/overseas_direct_investment_documents/September_2020_ODI_FactSheet_0.pdf
22.10.2020,http://dea.gov.in/files/overseas_direct_investment_documents/August_2020_ODI_FactSheet_2.pdf
17.11.2020,http://dea.gov.in/files/overseas_direct_investment_documents/October_2020_ODI_FactSheet.pdf
04.12.2020,http://dea.gov.in/files/overseas_direct_investment_documents/Approved_November_2020_ODI_FactSheet.pdf
12.01.2021,http://dea.gov.in/files/overseas_direct_investment_documents/December_2020_ODI_FactSheet.pdf
05.02.2021,http://dea.gov.in/files/overseas_direct_investment_documents/Approved_January_2021_ODI_FactSheet.pdf
08.01.2018,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_Fact_Sheet_from_April_2014_to_December_2017.pdf
18.03.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_fact_sheet_April_2016_to_Sep_2018.pdf
18.03.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_Fact_Sheet_April_2015_to_March_2018.pdf
18.03.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_fact_sheet_April_2016_to_June_2018.pdf
30.04.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_Fact_sheet_April_2016_to_March_2019.pdf
30.05.2019,http://dea.gov.in/files/overseas_direct_investment_documents/ODI_Fact_sheet_May_2019.pdf
06.08.2019,http://dea.gov.in/files/overseas_direct_investment_documents/Overseas_Direct_nvestment_Data_from_April_2017_to_July_2019.pdf
31.08.2019,http://dea.gov.in/files/overseas_direct_investment_documents/Overseas_Direct_Investment_Data_from_April_2017_to_August_2019.pdf
